Jurisdiction,Report Type,Report Date,Assessment body/bodies ,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,IO9,IO10,IO11,R.1,R.2,R.3,R.4,R.5,R.6,R.7,R.8,R.9,R.10,R.11,R.12,R.13,R.14,R.15,R.16,R.17,R.18,R.19,R.20,R.21,R.22,R.23,R.24,R.25,R.26,R.27,R.28,R.29,R.30,R.31,R.32,R.33,R.34,R.35,R.36,R.37,R.38,R.39,R.40
Brunei-Darussalam,MER+FUR,6/1/2024,APG,SE,SE,ME,ME,ME,SE,ME,ME,SE,SE,LE,LC,LC,LC,C,LC,LC,NC,LC,C,LC,LC,LC,LC,LC,PC,LC,LC,C,LC,LC,LC,LC,LC,PC,NC,LC,C,LC,C,C,LC,C,LC,LC,LC,LC,LC,LC,LC,LC
Bulgaria,MER+FUR,5/1/2024,MONEYVAL,ME,ME,ME,ME,LE,LE,LE,LE,ME,ME,LE,LC,LC,LC,PC,PC,PC,PC,PC,LC,PC,LC,LC,PC,C,PC,LC,C,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,PC,LC,LC,C,C,C,PC,PC,LC,LC,PC,LC,LC
Burkina Faso,MER+FUR,7/1/2023,GIABA,LE,ME,LE,LE,LE,ME,LE,LE,LE,LE,LE,LC,LC,C,LC,C,PC,PC,PC,C,LC,LC,LC,LC,PC,PC,LC,LC,LC,PC,LC,C,PC,LC,PC,PC,PC,C,PC,C,C,C,PC,LC,LC,LC,C,LC,LC,LC,LC
Cambodia,MER+FURs,10/1/2023,APG,ME,ME,LE,LE,LE,LE,LE,LE,SE,ME,LE,LC,LC,LC,LC,LC,LC,LC,PC,C,LC,LC,LC,C,LC,NC,LC,LC,LC,LC,LC,LC,LC,LC,PC,PC,PC,LC,PC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,PC
Cameroon,MER,3/1/2022,GABAC,LE,LE,LE,LE,LE,ME,LE,LE,ME,LE,LE,PC,PC,LC,PC,LC,NC,NC,NC,C,PC,LC,PC,LC,NC,NC,PC,LC,LC,PC,PC,C,PC,PC,NC,LC,PC,LC,NC,LC,C,C,PC,NC,PC,LC,LC,LC,PC,C,LC
Canada,MER+FUR,9/1/2021,FATF,SE,SE,SE,ME,LE,ME,ME,ME,SE,SE,ME,LC,C,C,LC,LC,LC,LC,PC,C,LC,LC,LC,LC,C,LC,LC,C,LC,C,LC,LC,PC,LC,PC,NC,LC,C,PC,PC,C,LC,LC,C,LC,LC,C,LC,LC,C,LC
Cape Verde,MER+FUR,12/1/2021,GIABA,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,C,C,LC,PC,PC,PC,C,PC,LC,LC,LC,LC,PC,PC,PC,PC,PC,PC,LC,PC,LC,LC,LC,PC,PC,PC,LC,C,C,PC,C,LC,LC,LC,C,LC,C,LC
Cayman Islands,MER+FURs,10/1/2021,CFATF,ME,ME,LE,LE,ME,LE,LE,ME,LE,ME,ME,LC,C,C,LC,C,LC,LC,LC,C,LC,C,C,C,LC,LC,LC,LC,C,C,C,C,C,C,LC,LC,C,C,C,LC,LC,LC,C,C,C,C,LC,C,LC,C,LC
Central African Republic,MER,11/1/2023,GABAC,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,NC,PC,LC,PC,LC,NC,NC,NC,LC,PC,LC,PC,LC,NC,NC,PC,LC,LC,PC,PC,C,PC,PC,NC,PC,PC,LC,NC,PC,C,C,PC,NC,PC,PC,LC,LC,PC,LC,PC
Chad,MER,7/1/2023,GABAC,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,NC,NC,C,PC,LC,NC,NC,NC,PC,PC,LC,PC,LC,PC,NC,PC,LC,PC,PC,PC,C,PC,PC,NC,PC,PC,LC,NC,LC,LC,C,PC,NC,PC,PC,LC,LC,PC,C,LC
Chile,MER,9/1/2021,GAFILAT,SE,SE,ME,ME,LE,SE,ME,ME,ME,ME,ME,LC,C,LC,LC,PC,PC,PC,PC,C,LC,LC,LC,LC,C,PC,LC,,LC,C,LC,C,PC,PC,PC,LC,LC,C,PC,C,C,C,LC,C,LC,LC,LC,C,C,LC,LC
China,MER+FURs,11/1/2022,FATF,SE,ME,ME,LE,LE,ME,ME,SE,SE,LE,LE,LC,C,LC,C,LC,PC,PC,LC,C,LC,C,PC,LC,LC,LC,LC,LC,C,C,LC,LC,NC,NC,PC,NC,LC,LC,NC,LC,C,C,LC,LC,LC,PC,LC,LC,C,LC,LC
Chinese Taipei,MER,10/1/2019,APG,SE,SE,ME,ME,ME,SE,ME,SE,SE,SE,SE,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,C,C,C,C,C,C,LC,C,LC,LC,PC,LC,LC,PC,LC,LC,PC,LC,C,LC,LC,LC,C,PC,LC,LC,LC,LC,LC
Colombia,MER+FUR,1/1/2023,GAFILAT,SE,SE,ME,ME,ME,SE,LE,SE,LE,ME,LE,LC,LC,LC,C,LC,PC,NC,PC,C,LC,C,LC,C,C,PC,C,,C,C,LC,C,PC,PC,PC,LC,LC,LC,PC,LC,C,C,LC,C,C,PC,LC,LC,C,LC,LC
Comoros,MER,5/1/2024,GIABA,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,C,LC,C,PC,PC,NC,C,PC,C,C,C,LC,NC,LC,PC,C,LC,C,C,PC,LC,PC,LC,PC,LC,NC,PC,C,C,LC,LC,PC,PC,LC,LC,PC,LC,PC
Cook Islands,MER,9/1/2018,APG,SE,SE,SE,ME,SE,ME,LE,LE,ME,SE,ME,LC,C,LC,LC,LC,LC,PC,LC,C,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,C,LC
Costa Rica,MER+FURs,2/1/2024,GAFILAT,ME,SE,ME,ME,LE,ME,ME,ME,ME,LE,LE,LC,C,C,LC,C,LC,C,PC,C,LC,C,LC,LC,C,NC,LC,C,LC,C,C,C,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,C,LC,LC,PC,C,C,LC,C,C
Croatia,MER+FURs,10/1/2024,MONEYVAL,ME,SE,ME,ME,ME,ME,LE,ME,ME,LE,ME,LC,LC,LC,LC,LC,C,C,PC,C,LC,LC,LC,C,LC,LC,LC,LC,PC,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,C,C,LC,LC,LC,C,LC,LC,LC,PC,LC,LC
Cuba,MER+FURs,2/1/2024,GAFILAT,ME,ME,SE,ME,SE,ME,ME,SE,SE,SE,ME,LC,C,LC,LC,C,C,C,PC,C,LC,C,C,C,C,LC,C,C,C,C,C,C,LC,LC,LC,C,LC,LC,C,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,LC
Cyprus,MER+FUR,12/1/2023,MONEYVAL,SE,SE,ME,ME,ME,ME,ME,ME,SE,ME,ME,LC,LC,C,C,LC,LC,LC,PC,C,LC,C,LC,PC,C,LC,LC,C,LC,LC,C,C,LC,LC,LC,LC,LC,C,LC,C,LC,PC,LC,C,LC,C,C,LC,C,C,C
Czech Republic,MER+FURs,12/1/2022,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,SE,SE,ME,ME,LC,LC,LC,C,LC,PC,PC,LC,C,LC,LC,LC,C,C,PC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,PC,PC,LC,LC,LC,LC,LC,LC,LC
Democratic Republic Congo,FUR,4/1/2023,GABAC,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,C,PC,PC,PC,NC,NC,PC,PC,LC,PC,PC,PC,PC,NC,NC,LC,NC,C,LC,NC,PC,NC,NC,PC,PC,NC,PC,NC,LC,PC,NC,PC,PC,PC,PC,PC,LC,PC
Denmark,MER+FURs,2/1/2021,FATF,ME,SE,LE,LE,ME,ME,ME,ME,SE,ME,SE,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,C,PC,LC,PC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,C,LC,LC,LC,LC,LC,LC
Djibouti,MER,11/1/2024,MENAFATF,LE,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,LC,LC,PC,LC,PC,PC,C,PC,LC,LC,C,C,NC,LC,,LC,PC,C,C,PC,PC,PC,PC,PC,LC,PC,LC,C,C,C,PC,PC,PC,PC,PC,PC,LC,PC
Dominica,MER,7/1/2023,CFATF,ME,SE,ME,ME,ME,SE,LE,ME,ME,LE,LE,LC,LC,C,C,C,PC,NC,PC,C,LC,C,LC,C,LC,PC,LC,C,C,LC,C,C,PC,LC,PC,LC,LC,LC,PC,C,C,LC,C,LC,C,LC,C,LC,C,LC,LC
Dominican Republic,MER+FUR,9/1/2019,GAFILAT,ME,SE,LE,ME,ME,ME,ME,ME,SE,ME,ME,LC,C,C,C,C,LC,LC,PC,C,LC,LC,LC,C,PC,C,LC,LC,LC,PC,C,LC,LC,C,LC,LC,PC,C,LC,C,LC,LC,PC,C,LC,C,C,LC,LC,PC,LC
Ecuador,MER,1/1/2023,GAFILAT,ME,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,LC,C,C,LC,PC,PC,LC,LC,LC,PC,LC,PC,LC,PC,LC,NC,PC,LC,C,PC,PC,LC,LC,LC,LC,C,PC,C,C,C,PC,C,C,PC,C,LC,LC,LC,LC
Egypt,MER,8/1/2021,MENAFATF,SE,SE,ME,ME,ME,SE,LE,ME,SE,ME,ME,LC,C,PC,LC,LC,LC,LC,LC,C,LC,LC,C,C,PC,PC,LC,C,C,C,LC,LC,PC,PC,PC,LC,LC,C,PC,C,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC
El Salvador,MER,8/1/2024,GAFILAT,ME,SE,LE,ME,ME,ME,ME,ME,ME,ME,ME,LC,C,LC,LC,LC,LC,PC,PC,LC,LC,C,LC,LC,C,PC,PC,,LC,C,C,LC,LC,LC,PC,LC,LC,LC,NC,LC,LC,LC,LC,LC,C,PC,LC,LC,PC,LC,LC
Estonia,MER+FUR,12/1/2024,MONEYVAL,ME,SE,ME,ME,ME,SE,ME,ME,ME,ME,SE,PC,C,LC,C,LC,LC,PC,PC,C,LC,C,LC,PC,LC,PC,C,LC,LC,PC,PC,PC,LC,PC,PC,PC,LC,LC,PC,LC,C,C,LC,PC,LC,PC,LC,LC,LC,LC,LC
Eswatini,MER,8/1/2022,ESAAMLG,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,LC,LC,PC,NC,NC,NC,LC,PC,LC,PC,LC,PC,NC,NC,PC,PC,NC,C,LC,PC,PC,NC,PC,PC,C,PC,LC,C,LC,PC,PC,PC,LC,LC,PC,LC,PC,PC
Ethiopia,MER+FURs,8/1/2022,ESAAMLG,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LE,C,LC,LC,LC,LC,LC,LC,LC,C,LC,C,C,C,C,PC,C,C,LC,LC,C,LC,LC,LC,LC,,LC,C,LC,LC,LC,LC,PC,LC,LC,LC,C,LC,LC,LC,PC
Fiji,FUR,5/1/2023,APG,ME,ME,ME,ME,LE,ME,ME,LE,LE,LE,LE,LC,LC,LC,C,C,PC,PC,PC,C,LC,C,C,C,C,PC,LC,LC,LC,C,LC,LC,LC,LC,PC,PC,LC,LC,LC,C,C,LC,LC,C,LC,LC,LC,LC,C,C,LC
Finland,MER+FURs,10/1/2023,FATF,SE,HE,LE,ME,ME,SE,SE,ME,ME,ME,ME,LC,LC,LC,LC,LC,LC,LC,PC,C,LC,C,LC,LC,C,PC,C,LC,LC,LC,C,C,LC,LC,LC,LC,LC,LC,PC,C,C,LC,LC,LC,C,LC,LC,LC,LC,LC,LC
France,MER,5/1/2022,FATF,SE,HE,ME,ME,SE,SE,SE,HE,HE,SE,SE,LC,C,C,C,C,LC,C,PC,C,LC,C,PC,PC,C,LC,LC,C,LC,LC,LC,C,LC,LC,LC,LC,LC,C,LC,LC,C,C,LC,LC,C,C,C,C,C,C,LC
Gabon,MER,7/1/2023,GABAC,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,NC,PC,LC,PC,LC,NC,NC,NC,LC,PC,LC,PC,LC,PC,NC,PC,LC,LC,PC,PC,C,PC,PC,NC,NC,PC,LC,NC,PC,C,C,PC,NC,NC,PC,LC,LC,PC,LC,LC
Georgia,MER+FURs,10/1/2024,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,ME,SE,LE,ME,LC,LC,C,LC,LC,PC,PC,NC,C,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,C,PC,PC,PC,PC,LC,LC,PC,LC,C,LC,LC,LC,LC,PC,LC,LC,LC,C,LC
Germany,MER+FUR,12/1/2023,FATF,SE,SE,ME,ME,ME,ME,ME,SE,SE,ME,ME,LC,LC,C,C,LC,LC,LC,LC,C,LC,C,LC,PC,LC,LC,C,LC,LC,C,C,C,LC,C,PC,LC,LC,C,LC,C,C,C,C,PC,LC,LC,LC,C,C,C,LC
Ghana,MER+FURs,8/1/2022,GIABA,ME,SE,ME,LE,LE,ME,ME,LE,LE,LE,LE,LC,LC,C,LC,LC,LC,LC,PC,C,LC,C,C,C,C,PC,LC,LC,LC,C,C,LC,LC,LC,LC,PC,LC,LC,PC,C,C,C,LC,LC,LC,C,C,LC,LC,PC,LC
Gibraltar,MER+FURs,5/1/2024,MONEYVAL,ME,SE,ME,ME,ME,LE,LE,LE,ME,ME,ME,C,LC,C,LC,C,LC,LC,LC,C,LC,C,C,C,LC,LC,C,LC,LC,LC,C,C,C,LC,LC,C,C,C,C,C,C,LC,LC,C,C,LC,LC,C,C,C,LC
Greece,MER,9/1/2019,FATF,SE,SE,ME,ME,ME,SE,ME,ME,SE,ME,SE,LC,LC,C,LC,LC,LC,LC,PC,C,C,C,C,PC,C,LC,LC,LC,C,LC,C,C,LC,LC,LC,LC,LC,C,LC,C,C,C,PC,LC,LC,LC,LC,LC,C,C,LC
Grenada,MER,7/1/2022,CFATF,ME,LE,ME,LE,LE,ME,ME,ME,LE,LE,LE,PC,LC,C,LC,PC,NC,NC,PC,C,LC,PC,PC,LC,PC,NC,PC,PC,PC,PC,C,C,PC,PC,PC,PC,PC,PC,PC,LC,LC,PC,PC,C,C,PC,LC,LC,C,C,LC
Guatemala,MER+FUR,10/1/2018,CFATF/ GAFILAT,ME,SE,ME,ME,ME,SE,SE,SE,ME,ME,ME,LC,C,LC,LC,PC,PC,PC,LC,C,LC,C,LC,C,PC,C,LC,PC,C,C,LC,C,PC,PC,LC,LC,C,LC,PC,C,C,C,C,C,C,PC,C,LC,LC,LC,LC
Guinea,MER,1/1/2024,GIABA,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,C,C,C,PC,PC,NC,C,LC,C,PC,C,PC,PC,LC,LC,LC,PC,C,C,LC,LC,PC,PC,LC,C,PC,LC,C,C,LC,PC,PC,LC,C,LC,LC,LC,LC
Guinea-Bissau,MER,5/1/2022,GIABA,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,PC,LC,PC,PC,PC,NC,C,PC,LC,PC,LC,PC,NC,PC,LC,LC,PC,PC,C,PC,PC,PC,PC,PC,C,NC,LC,C,C,PC,PC,PC,LC,LC,PC,LC,LC,LC
Haiti,MER,7/1/2019,CFATF,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,NC,PC,PC,PC,PC,NC,NC,NC,LC,PC,PC,PC,PC,PC,PC,NC,NC,NC,NC,PC,PC,NC,NC,NC,NC,NC,PC,NC,PC,PC,NC,NC,NC,PC,PC,LC,PC,PC,PC,NC
Holy See,MER+FUR,5/1/2024,MONEYVAL,ME,SE,SE,SE,SE,ME,ME,ME,SE,ME,ME,LC,LC,LC,LC,LC,PC,PC,PC,C,LC,LC,LC,C,LC,LC,LC,,LC,LC,C,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,LC,C,LC,LC,C,LC,LC,LC,LC
Honduras,MER+FUR,1/1/2020,GAFILAT,ME,SE,ME,ME,LE,ME,ME,HE,SE,ME,LE,PC,LC,C,C,LC,LC,PC,NC,C,C,C,LC,C,C,C,PC,LC,LC,C,C,C,LC,C,NC,LC,LC,C,PC,C,C,C,C,PC,C,PC,LC,LC,LC,LC,LC
Hong Kong,MER+FUR,2/1/2023,FATF,SE,SE,ME,ME,ME,SE,ME,SE,SE,SE,ME,LC,LC,LC,LC,LC,C,C,C,C,LC,LC,PC,C,LC,PC,LC,LC,LC,LC,LC,C,PC,LC,LC,PC,LC,LC,LC,C,C,C,C,C,LC,LC,LC,LC,LC,LC,LC
Hungary,MER+FURs,5/1/2024,MONEYVAL,LE,SE,ME,ME,LE,SE,LE,LE,ME,ME,ME,LC,LC,LC,C,LC,LC,LC,PC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,PC,LC,LC,LC,LC,LC,LC,LC,LC
Iceland,MER+FURs,9/1/2021,FATF,LE,SE,LE,LE,LE,ME,ME,ME,ME,LE,LE,C,C,C,LC,LC,C,C,LC,C,C,C,C,PC,LC,PC,C,C,LC,C,C,C,C,LC,LC,C,LC,C,C,LC,C,C,C,LC,C,LC,LC,LC,LC,LC,LC
India,MER,9/1/2024,FATF/APG/EAG,SE,SE,ME,ME,SE,SE,ME,SE,ME,ME,SE,LC,C,LC,LC,LC,LC,LC,PC,C,LC,C,PC,C,LC,LC,C,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,C,PC,C,LC,LC,LC,C,LC,LC,C,LC,LC,C,LC
Indonesia,MER,4/1/2023,FATF,SE,SE,ME,ME,ME,SE,ME,ME,SE,ME,ME,LC,LC,C,LC,LC,PC,PC,PC,LC,LC,LC,LC,LC,C,LC,LC,LC,C,LC,C,LC,LC,LC,LC,PC,LC,LC,PC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Iraq,MER,5/1/2024,MENAFATF,ME,SE,ME,ME,ME,ME,LE,SE,ME,ME,LE,LC,LC,LC,LC,PC,LC,LC,PC,C,C,C,C,C,PC,NC,C,C,C,LC,C,LC,C,PC,PC,PC,PC,C,PC,LC,C,LC,LC,C,LC,PC,PC,LC,C,PC,PC
Isle of Man,MER+FURs,12/1/2022,MONEYVAL,SE,SE,ME,ME,ME,LE,LE,LE,ME,ME,ME,LC,C,C,LC,C,C,LC,LC,C,LC,C,C,C,LC,LC,C,C,LC,C,C,LC,LC,PC,LC,C,LC,LC,LC,C,C,C,C,C,LC,LC,LC,LC,LC,C,LC
Israel,MER+FUR,5/1/2022,FATF/MONEYVAL,SE,SE,ME,ME,SE,HE,SE,HE,HE,SE,ME,LC,C,LC,LC,C,LC,LC,LC,C,LC,LC,LC,C,C,LC,LC,,PC,LC,C,C,PC,PC,LC,LC,LC,C,PC,C,C,C,C,C,C,LC,C,LC,LC,C,LC
Italy,MER+FUR,3/1/2019,IMF/FATF,SE,SE,ME,ME,SE,SE,SE,SE,SE,ME,SE,C,LC,LC,C,C,LC,PC,LC,C,LC,C,LC,PC,C,LC,C,LC,LC,C,C,LC,LC,LC,LC,LC,C,C,LC,C,C,C,LC,LC,LC,C,C,LC,LC,C,C
Ivory Coast,MER+FUR,5/1/2024,IMF/GIABA,ME,LE,LE,LE,LE,LE,ME,ME,LE,LE,LE,PC,PC,LC,PC,PC,NC,NC,NC,LC,LC,C,LC,LC,PC,NC,LC,NC,C,LC,C,LC,LC,LC,PC,NC,PC,PC,NC,LC,C,LC,PC,PC,PC,PC,PC,LC,PC,LC,PC
Jamaica,MER+FURs,1/1/2024,CFATF,ME,ME,ME,LE,LE,ME,LE,SE,LE,LE,LE,LC,LC,LC,LC,LC,LC,PC,PC,C,LC,LC,C,C,LC,PC,LC,LC,LC,C,C,C,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,C,LC,C,LC
Japan,MER+FURs,10/1/2024,FATF/APG,SE,SE,ME,ME,ME,SE,ME,ME,ME,ME,ME,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Jersey,MER,5/1/2024,MONEYVAL,HE,SE,ME,ME,SE,ME,ME,SE,SE,SE,SE,C,C,LC,C,C,LC,LC,C,C,LC,C,LC,C,LC,LC,LC,LC,PC,C,C,C,LC,LC,LC,LC,LC,C,LC,LC,C,C,C,C,C,C,C,C,C,C,C
Jordan,MER+FUR,5/1/2022,MENAFATF,ME,SE,ME,ME,LE,ME,LE,ME,SE,LE,LE,LC,LC,LC,LC,LC,C,C,NC,C,LC,LC,LC,C,LC,PC,LC,LC,LC,LC,C,LC,NC,NC,LC,NC,LC,LC,PC,LC,C,C,C,LC,PC,LC,LC,LC,LC,PC,LC
Kazakhstan,MER,7/1/2023,EAG,SE,SE,ME,ME,ME,SE,SE,ME,SE,SE,SE,LC,C,LC,LC,LC,PC,PC,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,C,C,LC,LC,PC,LC,PC,LC,PC,C,C,LC,LC,LC,LC,PC,LC,LC,LC,LC,LC
Kenya,MER+FUR,4/1/2024,ESAAMLG,LE,ME,LE,LE,LE,LE,LE,ME,LE,LE,LE,PC,NC,C,PC,C,PC,NC,NC,PC,C,C,PC,C,NC,NC,NC,PC,C,C,C,C,PC,LC,PC,PC,PC,C,PC,C,PC,PC,LC,PC,PC,PC,C,LC,C,PC,PC
Kuwait,MER,10/1/2024,FATF/MENAFATF,ME,ME,ME,ME,LE,ME,ME,ME,LE,LE,LE,LC,LC,LC,LC,LC,NC,NC,PC,C,LC,LC,LC,C,C,PC,LC,PC,PC,PC,C,LC,LC,LC,PC,LC,PC,C,PC,LC,LC,C,C,C,C,LC,LC,LC,PC,LC,LC
Kyrgyzstan,MER+FURs,12/1/2023,EAG,LE,ME,ME,ME,ME,ME,ME,LE,ME,ME,ME,LC,LC,C,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Laos,MER,8/1/2023,APG,LE,ME,LE,LE,LE,LE,LE,LE,ME,LE,LE,PC,LC,PC,PC,NC,PC,PC,NC,LC,PC,PC,NC,LC,PC,NC,PC,,LC,PC,PC,PC,PC,NC,NC,NC,PC,LC,NC,PC,LC,PC,LC,PC,NC,PC,PC,LC,PC,PC,PC
Latvia,MER+FUR,12/1/2019,MONEYVAL,ME,SE,ME,ME,LE,ME,ME,ME,ME,ME,LE,C,C,LC,C,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC
Lebanon,MER,12/1/2023,MENAFATF,ME,ME,ME,ME,ME,ME,LE,LE,ME,ME,ME,LC,LC,PC,LC,LC,LC,LC,LC,LC,C,LC,C,C,LC,PC,C,C,LC,C,LC,C,LC,LC,LC,PC,LC,C,PC,LC,LC,C,LC,LC,LC,LC,LC,LC,PC,PC,LC
Lesotho,MER,2/1/2024,ESAAMLG,LE,LE,ME,ME,LE,LE,LE,LE,LE,LE,LE,PC,C,PC,PC,C,PC,NC,NC,LC,LC,LC,LC,C,LC,NC,LC,PC,C,NC,PC,LC,LC,PC,PC,NC,PC,C,PC,LC,PC,PC,PC,PC,LC,LC,C,C,PC,LC,PC
Liberia,MER,7/1/2023,GIABA,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,LC,PC,PC,PC,PC,NC,NC,LC,PC,C,PC,LC,LC,NC,PC,C,LC,LC,LC,LC,PC,LC,PC,PC,PC,LC,PC,C,PC,PC,LC,PC,PC,PC,LC,PC,LC,LC,PC
Liechtenstein,MER,7/1/2022,MONEYVAL,SE,SE,ME,ME,ME,SE,ME,SE,SE,ME,ME,LC,C,LC,C,LC,LC,LC,LC,C,LC,LC,LC,LC,C,PC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,PC,LC,C,C,LC,LC,C,PC,C,LC,C,C,LC
Lithuania,MER+FUR,12/1/2023,MONEYVAL,ME,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,C,LC,LC,LC,PC,PC,LC,C,LC,C,C,LC,LC,PC,LC,C,LC,LC,LC,C,LC,LC,LC,LC,LC,C,PC,LC,C,LC,LC,LC,LC,LC,C,LC,LC,LC,LC
Luxembourg,MER,9/1/2023,FATF,SE,SE,ME,ME,SE,SE,ME,ME,SE,ME,ME,C,C,C,LC,C,LC,LC,PC,C,C,C,C,C,C,LC,C,C,C,C,C,C,C,C,LC,C,C,C,C,C,LC,C,LC,LC,C,LC,LC,C,C,C,LC
Macau,MER+FUR,10/1/2019,APG,ME,SE,SE,ME,SE,SE,LE,LE,ME,SE,SE,LC,LC,LC,C,LC,C,C,LC,C,C,C,C,C,C,C,LC,C,C,C,C,C,LC,LC,LC,LC,C,C,LC,C,LC,C,LC,LC,C,C,LC,C,LC,LC,LC
