Jurisdiction,Report Type,Report Date,Assessment body/bodies ,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,IO9,IO10,IO11,R.1,R.2,R.3,R.4,R.5,R.6,R.7,R.8,R.9,R.10,R.11,R.12,R.13,R.14,R.15,R.16,R.17,R.18,R.19,R.20,R.21,R.22,R.23,R.24,R.25,R.26,R.27,R.28,R.29,R.30,R.31,R.32,R.33,R.34,R.35,R.36,R.37,R.38,R.39,R.40
Madagascar,MER+FURs,4/1/2024,ESAAMLG/WB,LE,LE,LE,LE,LE,ME,LE,LE,LE,LE,LE,C,PC,LC,LC,PC,NC,NC,PC,C,LC,C,C,C,PC,NC,LC,C,LC,LC,LC,C,NC,NC,PC,NC,PC,LC,NC,LC,C,C,LC,PC,PC,PC,PC,LC,LC,LC,LC
Malawi,MER+FUR,4/1/2024,ESAAMLG,ME,ME,ME,ME,LE,ME,ME,ME,LE,LE,LE,LC,LC,C,C,PC,LC,C,NC,C,LC,C,C,C,C,PC,LC,C,C,C,LC,C,LC,LC,PC,PC,C,C,C,C,C,LC,LC,PC,C,LC,C,LC,C,LC,LC
Malaysia,MER+FUR,10/1/2018,APG/FATF,SE,ME,SE,ME,ME,SE,ME,ME,ME,SE,ME,LC,C,LC,LC,C,C,C,LC,LC,C,LC,LC,LC,C,C,C,LC,C,C,C,C,LC,LC,PC,PC,C,C,LC,C,C,C,C,C,C,LC,LC,LC,LC,LC,LC
Mali,FUR,1/1/2024,GIABA,LE,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,LC,LC,LC,PC,LC,LC,PC,C,LC,LC,LC,LC,PC,NC,PC,LC,LC,NC,PC,C,PC,PC,PC,PC,PC,C,PC,LC,C,C,PC,PC,C,LC,LC,LC,PC,LC,LC
Malta,MER+FUR,8/1/2021,MONEYVAL,ME,SE,LE,ME,ME,ME,LE,LE,ME,ME,SE,LC,C,C,C,LC,LC,C,LC,C,LC,C,LC,LC,LC,LC,LC,LC,LC,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,C,LC,LC,C,LC
Mauritania,MER+FURs,11/1/2021,MENAFATF,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,C,LC,LC,C,LC,LC,PC,LC,C,C,C,LC,LC,PC,LC,C,C,C,C,LC,C,LC,PC,LC,C,C,PC,LC,LC,C,LC,PC,LC,C,LC,LC,LC,LC,LC
Mauritius,MER+FURs,1/1/2023,ESAAMLG,LE,ME,LE,ME,LE,ME,ME,LE,LE,LE,LE,C,C,C,C,C,C,C,LC,C,C,LC,C,C,C,LC,C,C,C,C,C,C,C,C,LC,LC,LC,C,LC,C,C,C,LC,C,LC,C,LC,LC,LC,LC,LC
Mexico,MER+FURs,5/1/2023,FATF,SE,SE,ME,LE,ME,ME,LE,LE,ME,SE,SE,LC,LC,C,LC,LC,C,C,LC,C,LC,LC,C,LC,LC,LC,C,C,LC,LC,PC,LC,PC,NC,LC,LC,LC,LC,PC,C,LC,LC,PC,PC,LC,LC,LC,C,C,LC,LC
Moldova,MER+FURs,5/1/2024,MONEYVAL,SE,SE,ME,ME,ME,ME,ME,ME,SE,ME,LE,LC,LC,LC,C,LC,LC,LC,PC,LC,LC,LC,LC,LC,C,PC,LC,LC,LC,LC,C,C,PC,LC,PC,PC,C,LC,LC,C,C,LC,LC,LC,C,C,LC,LC,PC,LC,LC
Monaco,MER+FUR,11/1/2024,MONEYVAL,ME,ME,LE,ME,ME,ME,LE,LE,ME,ME,ME,LC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,C,LC,C,PC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Mongolia,MER+FURs,10/1/2023,APG,LE,ME,LE,LE,LE,LE,LE,ME,LE,LE,LE,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,C,LC,LC,C,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,C,C,C,LC,LC,LC,LC,C,C,LC,LC,LC
Montenegro,MER,1/1/2024,MONEYVAL,SE,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,LC,LC,LC,LC,PC,PC,NC,LC,PC,LC,LC,PC,LC,PC,PC,PC,PC,PC,LC,LC,PC,PC,PC,PC,PC,LC,PC,C,C,LC,PC,PC,LC,PC,LC,LC,LC,LC,LC
Morocco,MER+FURs,5/1/2022,MENAFATF,ME,ME,ME,ME,LE,ME,LE,ME,SE,ME,LE,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,C,LC,NC,LC,C,LC,LC,LC,C,LC,LC,PC,PC,LC,LC,LC,LC,LC,PC,PC,LC,LC,C,LC,LC,PC,LC,LC
Mozambique,MER,7/1/2023,ESAAMLG,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,PC,PC,C,PC,PC,PC,NC,C,PC,LC,LC,LC,PC,PC,PC,C,LC,PC,C,C,PC,PC,NC,NC,PC,PC,PC,LC,PC,PC,PC,PC,PC,PC,PC,PC,PC,LC,LC
Myanmar,MER+FURs,2/1/2024,APG,LE,LE,LE,LE,LE,ME,LE,LE,LE,LE,LE,LC,LC,C,LC,LC,LC,NC,PC,C,LC,C,LC,LC,LC,PC,LC,C,LC,C,C,LC,LC,LC,PC,NC,LC,C,PC,PC,LC,LC,PC,LC,PC,PC,PC,PC,PC,PC,LC
Namibia,MER+FUR,4/1/2024,ESAAMLG,ME,ME,LE,ME,LE,ME,ME,ME,LE,LE,LE,LC,LC,LC,LC,C,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,PC,PC,LC,LC,C,LC,C,C,PC,LC,PC,LC,LC,C,LC,LC,LC,PC
Nauru,MER,11/1/2024,APG,ME,ME,LE,ME,ME,ME,LE,LE,ME,ME,LE,PC,LC,LC,LC,C,LC,C,LC,C,C,C,C,C,C,LC,C,C,C,C,C,C,C,C,LC,LC,LC,C,LC,PC,LC,LC,LC,LC,C,C,LC,LC,PC,LC,LC
Nepal,MER+FUR,6/1/2024,APG,ME,ME,LE,LE,LE,ME,ME,LE,LE,LE,LE,PC,LC,LC,LC,LC,PC,PC,NC,LC,LC,C,LC,LC,LC,PC,LC,LC,LC,LC,C,C,LC,LC,PC,PC,PC,C,PC,C,LC,LC,LC,LC,PC,LC,LC,LC,LC,PC,PC
Netherlands,MER,8/1/2022,FATF,SE,HE,ME,ME,ME,HE,SE,SE,SE,SE,ME,LC,C,LC,C,LC,LC,LC,LC,C,LC,C,LC,PC,C,PC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,C,LC,C,C,LC,LC,LC,LC,LC,LC,C,LC,LC,LC
New Zealand,MER+FURs,7/1/2024,FATF/APG,SE,HE,ME,ME,ME,SE,SE,HE,SE,ME,ME,LC,C,C,C,LC,LC,PC,LC,C,LC,LC,PC,LC,LC,LC,LC,LC,PC,C,C,C,LC,LC,PC,LC,PC,LC,PC,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Nicaragua,MER+FURs,1/1/2021,GAFILAT,ME,ME,LE,ME,LE,ME,ME,SE,ME,ME,LE,PC,LC,LC,LC,LC,LC,LC,LC,LC,C,C,C,C,LC,NC,LC,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,LC,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Niger,MER,11/1/2021,GIABA,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,C,C,LC,C,LC,LC,NC,C,PC,LC,PC,LC,PC,NC,PC,LC,LC,NC,PC,C,PC,PC,PC,PC,PC,C,PC,LC,C,C,LC,LC,C,LC,C,LC,LC,LC,LC
Nigeria,MER+FURs,11/1/2023,GIABA,LE,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LC,LC,C,C,LC,LC,LC,C,C,LC,C,PC,C,C,PC,LC,LC,LC,LC,C,LC,PC,PC,PC,PC,LC,LC,PC,C,C,C,PC,C,C,LC,LC,LC,LC,LC,LC
