"Date.and.Time","price","market_cap","total_volume","Date.and.Time.2","power.MAX..GW","power.MIN..GW","power.GUESS..GW","annualised.consumption.MAX..TWh","annualised.consumption.MIN..TWh","annualised.consumption.GUESS..TWh","Predicted","Detrended"
"2018-03-09 00:00:00 UTC",9420.85489,159289105130.238,4028135943.95804,2018-03-07,15.08331829,2.413918034,3.944004123,132.2203681,21.16040549,34.57314014,41.9503465602955,-7.37720642029554
"2018-03-10 00:00:00 UTC",9276.33759,156862284242.875,5476476288.95058,2018-03-08,15.24377228,2.439596919,3.985959825,133.6269078,21.38550659,34.94092382,41.9891230906666,-7.04819927066657
"2018-03-11 00:00:00 UTC",8890.865804,150359761907.831,3260891795.80132,2018-03-09,15.29286021,2.447452899,3.998795396,134.0572126,21.45437211,35.05344044,42.0278996210377,-6.9744591810377
"2018-03-12 00:00:00 UTC",9512.456113,160888688653.477,3876612721.94766,2018-03-10,14.94180883,2.391271013,3.90700206,130.9798962,20.9618817,34.24878006,42.0666761514088,-7.81789609140884
"2018-03-13 00:00:00 UTC",9232.70588,156177221215.631,4019736166.69097,2018-03-11,15.19589805,2.431935179,3.973441615,133.2072423,21.31834378,34.8311892,42.1054526817799,-7.27426348177987
"2018-03-14 00:00:00 UTC",9216.530976,155921695042.49,3628990704.00642,2018-03-12,15.39861169,2.464377251,4.026447418,134.9842301,21.60273098,35.29583807,42.144229212151,-6.848391142151
"2018-03-15 00:00:00 UTC",8307.223386,140553335048.276,4020163253.19298,2018-03-13,15.42726028,2.468962141,4.033938487,135.2353636,21.64292213,35.36150478,42.183005742522,-6.82150096252203
"2018-03-16 00:00:00 UTC",8359.365283,141449655895.935,4571407139.63984,2018-03-14,15.2410445,2.439160368,3.985246562,133.6029961,21.38167978,34.93467136,42.2217822728932,-7.28711091289316
"2018-03-17 00:00:00 UTC",8520.008159,144184737078.277,3070872383.16169,2018-03-15,14.98320732,2.397896382,3.917826986,131.3427954,21.01995969,34.34367136,42.2605588032642,-7.91688744326419
"2018-03-18 00:00:00 UTC",8063.409792,136472702736.86,2591898944.22895,2018-03-16,15.12645029,2.420820834,3.955282331,132.5984633,21.22091543,34.67200492,42.2993353336353,-7.62733041363533
"2018-03-19 00:00:00 UTC",8217.8422,139102798580.577,4330642348,2018-03-17,15.25536889,2.441452827,3.988992119,133.7285637,21.40177548,34.96750492,42.3381118640064,-7.37060694400635
"2018-03-20 00:00:00 UTC",8640.52143,146274523240.434,4276409099.70447,2018-03-18,15.29033875,2.447049366,3.99813608,134.0351095,21.45083474,35.04766088,42.3768883943775,-7.32922751437749
"2018-03-21 00:00:00 UTC",8926.820496,151135311240.403,3554700592.27965,2018-03-19,15.32040334,2.45186087,4.005997405,134.2986556,21.49301239,35.11657325,42.4156649247486,-7.29909167474862
"2018-03-22 00:00:00 UTC",8970.317906,151888445786.249,3081152046.02369,2018-03-20,14.97140405,2.3960074,3.914740653,131.2393279,21.00340087,34.31661657,42.4544414551196,-8.13782488511965
"2018-03-23 00:00:00 UTC",8736.385769,147943048662.132,2931676659.59385,2018-03-21,15.19976336,2.432553778,3.974452319,133.2411256,21.32376642,34.84004902,42.4932179854908,-7.65316896549079
"2018-03-24 00:00:00 UTC",8824.592832,149451318665.614,2877067842.09843,2018-03-22,15.2924679,2.447390114,3.998692815,134.0537736,21.45382174,35.05254121,42.5319945158618,-7.47945330586181
"2018-03-25 00:00:00 UTC",8621.150792,146022681302.796,2444371384.26949,2018-03-23,15.06255354,2.410594867,3.938574532,132.0383444,21.1312746,34.52554435,42.5707710462329,-8.04522669623295
"2018-03-26 00:00:00 UTC",8478.638196,143623891714.181,2066020545.39261,2018-03-24,15.27958228,2.445327912,3.995323466,133.9408183,21.43574448,35.0230055,42.609547576604,-7.58654207660398
"2018-03-27 00:00:00 UTC",8186.196063,138684803358.943,2972024163,2018-03-25,15.08781637,2.414637902,3.945180285,132.2597983,21.16671585,34.58345038,42.6483241069751,-8.06487372697511
"2018-03-28 00:00:00 UTC",7836.763044,132779843611.386,2653185409.40399,2018-03-26,15.01245278,2.402576795,3.925474126,131.5991611,21.06098819,34.41070619,42.6871006373461,-8.27639444734614
"2018-03-29 00:00:00 UTC",7930.779541,134386559681.906,2033730316.75905,2018-03-27,15.38927139,2.462882439,4.024005106,134.902353,21.58962746,35.27442876,42.7258771677173,-7.45144840771727
"2018-03-30 00:00:00 UTC",7126.895193,120777974799.763,3680239216.31679,2018-03-28,15.13303462,2.421874582,3.957004008,132.6561815,21.23015259,34.68709714,42.7646536980884,-8.07755655808841
"2018-03-31 00:00:00 UTC",6897.268578,116900853303.246,4264255594.7461,2018-03-29,15.26868938,2.443584624,3.992475177,133.8453311,21.42046282,34.99803741,42.8034302284594,-7.80539281845943
"2018-04-01 00:00:00 UTC",6975.275314,118234055446.543,2565052340.23238,2018-03-30,14.57071004,2.513539176,4.042942555,127.7268442,22.03368442,35.44043443,42.8422067588306,-7.40177232883057
"2018-04-02 00:00:00 UTC",6836.572327,115896903503.058,2649647152.16978,2018-03-31,13.25181291,2.445996879,3.882155448,116.1653919,21.44160864,34.03097465,42.8809832892016,-8.8500086392016
"2018-04-03 00:00:00 UTC",7080.417232,120044225923.527,2253363912.16746,2018-04-01,12.53623369,2.514878875,3.924620168,109.8926245,22.04542822,34.4032204,42.9197598195727,-8.51653941957273
"2018-04-04 00:00:00 UTC",7464.356094,126568883854.608,2762080502.61078,2018-04-02,11.55125315,2.534625153,3.88910466,101.2582851,22.21852409,34.09189145,42.9585363499438,-8.86664489994376
"2018-04-05 00:00:00 UTC",6845.315978,116084750821.373,2544238382.12146,2018-04-03,10.5933804,2.566669158,3.870640588,92.86157256,22.49942184,33.93003539,42.9973128803149,-9.06727749031489
"2018-04-06 00:00:00 UTC",6855.422305,116269847527.264,2568972345.7027,2018-04-04,9.760879706,2.600584599,3.862185787,85.5638715,22.7967246,33.85592061,43.0360894106859,-9.18016880068592
"2018-04-07 00:00:00 UTC",6628.754456,112436767361.372,1840465005.57115,2018-04-05,8.745753657,2.615506424,3.818787796,76.66527656,22.92752931,33.47549382,43.0748659410571,-9.59937212105706
"2018-04-08 00:00:00 UTC",6884.477235,116789559212.8,1856418405.57496,2018-04-06,8.567766399,2.562277527,3.735690193,75.10504026,22.46092481,32.74706023,43.1136424714282,-10.3665822414282
"2018-04-09 00:00:00 UTC",6984.808966,118505840498.729,1413593787.18783,2018-04-07,9.007543718,2.6937974,3.92280213,78.96012824,23.613828,34.38728347,43.1524190017992,-8.76513553179922
"2018-04-10 00:00:00 UTC",6778.49157,115017783885.652,2437632634.28606,2018-04-08,9.005128841,2.693075206,3.921750446,78.93895942,23.60749725,34.37806441,43.1911955321704,-8.81313112217035
