Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh",BTC / USD Denominated Closing Price,BTC / Active Addr Cnt,BTC / Tx per Second Cnt,BTC / 30 Day Volatility,BTC / Mean Tx Size (USD),BTC / Miner Supply (USD),BTC / Val in Addrs w/ Bal ? $1M USD,BTC / 30 Day Active Supply,BTC / SER (Supply Equality Ratio),BTC / Miner Revenue per Hash (USD),BTC / Miner Revenue per Hash per Sec (USD),BTC / Total Issuance (USD),"BTC / Mean Hash Rate, 30 Day",BTC / Mean Hash Rate,BTC / Mean Tx Fee (USD),BTC / Mean Difficulty,BTC / Difficulty,BTC / Market Cap (USD),BTC / Mean Block Size (in bytes),BTC / Addr Cnt of Bal ? $1M,BTC / Miner Revenue (USD)
1366243200,2013-04-18T00:00:00,0.5263608507760488,0.000647227,0.093719722,4.614079217902843,0.005673594,0.8215470800835983,108.6283451,85564,0.56599537,0.186495533,5337.013783,223894140.5,2275505.545,3152392.189,0.009348128,0.071299479,6160.274952,399209.1682,58.87766792,65.57885717,0.097636559,8974296.015,8974296.015,1200434440,149028,102,403983.7912
1366329600,2013-04-19T00:00:00,0.4747757941391086,0.00064026,0.084831488,4.161884611423426,0.005612522,0.743632826,119.0122832,102489,0.665798611,0.186750001,1292.441598,245102904.8,2328457.502,3136515.837,0.009405464,0.078421128,6775.585432,407617.0701,59.22004741,61.11771043,0.112841344,8974296.015,8974296.015,1315593294,208283.8467,108,414108.2684
1366416000,2013-04-20T00:00:00,0.42898075911985384,0.000647419,0.077010986,3.760445334444639,0.005675278,0.6750783001420773,128.2082889,73497,0.546087963,0.186317458,930.6281102,264044155,2422762.22,3121513.111,0.009442485,0.084135029,7269.266497,493601.9122,59.75899705,68.70165989,0.123113949,8974296.015,8974296.015,1417741978,154309.3312,118,499410.6746
1366502400,2013-04-21T00:00:00,0.3934461713280082,0.000676262,0.071065008,3.448949138,0.005928112,0.6229558583244764,118.4832438,72721,0.512083333,0.187090304,893.3267199,243827888.2,2341018.428,3106558.581,0.009487364,0.077425921,6689.599593,521326.2725,60.53673891,78.51618274,0.088499041,8974296.015,8974296.015,1310722638,124137.1705,108,525241.8241
1366588800,2013-04-22T00:00:00,0.3487987227180463,0.00068442,0.063446671,3.0575696033463937,0.005999625,0.5561735137642445,126.3142718,90723,0.543645833,0.186317728,1372.414746,259978597.7,2373959.529,3085896.454,0.009577658,0.082920853,7164.361687,483152.0895,61.06885066,68.25554522,0.124658271,8974296.015,8974296.015,1397836654,147409.183,112,489007.4131
1366675200,2013-04-23T00:00:00,0.3011404112252164,0.000695058,0.055324717,2.639796844800247,0.006092877,0.48497646857045357,142.1272181,91871,0.715416667,0.186491779,1413.558423,292483703.6,2518395.229,3095702.19,0.009623288,0.09354097,8081.939774,596934.3158,61.80393644,74.94726534,0.142124002,8974296.015,8974296.015,1573425025,175060.5655,131,605719.2847
1366761600,2013-04-24T00:00:00,0.2510520487768842,0.000700235,0.046757098,2.200722259578167,0.006138258,0.40987271704320516,154.1332778,103533,0.758194444,0.186783374,1585.000533,316880893.3,2614514.512,3172533.362,0.009638385,0.101522725,8771.563449,624239.7751,62.6152693,72.27057729,0.147862537,8974296.015,8974296.015,1706962827,210216.5123,147,633925.9542
1366848000,2013-04-25T00:00:00,0.2063796193791611,0.000716193,0.039175447,1.8091237434777259,0.006278145,0.3434119667263755,141.0086593,89506,0.708414352,0.187806739,1342.943352,290000429.9,2522250.821,3140809.987,0.009731459,0.092725161,8011.453927,606337.2349,63.49764175,76.73172404,0.137164654,8974296.015,8974296.015,1562219398,173345.7849,133,614732.6719
1366934400,2013-04-26T00:00:00,0.21263354753899996,0.000737896,0.040362581617553815,1.8639456777268735,0.006468392,0.3538183904594767,137.2096004,86571,0.641215278,0.186964298,1031.226643,282120494.5,2491322.001,3114803.085,0.009873903,0.089841918,7762.341741,586571.0418,64.58704458,76.28560936,0.100791105,8974296.015,8974296.015,1520716614,158547.0058,128,592154.9698
1367020800,2013-04-27T00:00:00,0.21134597530701366,0.000733427,0.040118172,1.8526588195412816,0.006429224,0.3516758934734913,128.2266696,76128,0.497534722,0.187505968,733.8747861,258033927.4,2425366.389,3136206.313,0.009941456,0.084036376,7260.74289,471233.0108,64.74261338,65.57885717,0.114411569,8974296.015,8974296.015,1421628545,143830.8912,122,476151.2209
